topic,word,score
6,raac,0.008226214996562366
7,coal,0.041233344915052116
7,transmission,0.027429865681962665
7,grid,0.023764369180977487
7,snowy,0.019555947575952214
7,fired,0.016342321829834732
7,eraring,0.01600841809649775
7,storage,0.015305497178358917
7,coal fired,0.015286794226229208
7,lines,0.014368425922541025
7,victoria,0.013903355739936698
8,ulez,0.05500045560921621
8,air pollution,0.041580143706027826
8,khan,0.0373375867995527
8,clean air,0.02992498041529685
8,zone,0.029383116070873405
8,vehicle,0.01977478719272363
8,drivers,0.019153233737661073
8,air quality,0.017587948722890268
8,traffic,0.01574779709974075
8,emission,0.015692160325971264
9,coal,0.03069963258146047
9,capsule,0.029717517852422888
9,middle arm,0.020712516689299524
9,arm,0.02065158623277655
9,sample,0.020446228051723227
9,samples,0.020085198046654318
9,methane,0.019849149136982956
9,nt,0.019408064746462055
9,middle,0.01861212545876166
9,dust,0.017166208432586722
10,steel,0.03389324713961925
10,bills,0.02995499532630027
10,cap,0.023702342381406873
10,tata,0.020652296483825685
10,price cap,0.01895398394917236
10,ofgem,0.018151625588575325
10,port talbot,0.016672652126396792
10,talbot,0.01662473185766703
10,energy bills,0.01618036345616566
10,offshore wind,0.015372918811799306
11,north sea,0.033852084648331414
11,bp,0.031987898021032274
11,licences,0.02630736388219321
11,sunak,0.020053712621079304
11,drilling,0.017352986183439795
11,scotland,0.012998158984296184
11,energy security,0.012673443983977833
11,ect,0.011887569364628781
11,rishi sunak,0.011725585006419046
11,rishi,0.01163105730768837
12,trump,0.08787351764734468
12,donald,0.033405424776633795
12,donald trump,0.03319830642680777
12,republican,0.032565928817492894
12,joe biden,0.019116661936395603
12,federal,0.018041434016713653
12,charges,0.01779132742414465
12,republicans,0.01746459776381796
12,white house,0.017125026264364365
12,presidential,0.01684884060569951
13,habeck,0.03949395634386413
13,screen,0.026297424742195624
13,germany,0.02365804573000148
13,hydrogen,0.021957487588123617
13,apple,0.01659342825175098
13,phone,0.014359840573975153
13,doughnut,0.013916979591129943
13,samsung,0.013731176465833264
13,apps,0.013615968243322459
13,android,0.013541088295622308
14,wildfires,0.04551627933067236
14,smoke,0.04548485313868292
14,air quality,0.04540801912149162
14,fires,0.02662459469707642
14,maui,0.023672528939663425
14,hawaii,0.022294135880440834
14,wildfire,0.02215630970487941
14,canadian,0.017267722801472783
14,lahaina,0.01625130384875633
14,alerts,0.015529306106068643
15,onshore,0.04375191251791312
15,turbines,0.03767942251640339
15,windfarms,0.03707436918121159
15,heat pumps,0.03632041968782333
15,pumps,0.03603067951195938
15,offshore wind,0.0348200684557401
15,auction,0.034499854506570574
15,onshore wind,0.032764715231655125
15,windfarm,0.02774133995969491
15,developers,0.023624912269513725
16,sewage,0.05073603961183781
16,rivers,0.03879171817476451
16,england,0.03567780920578313
16,thames,0.034728301285412704
16,water companies,0.023313037308514525
16,river,0.021817241510105934
16,natural england,0.021696295928008928
16,nutrient,0.01943993331386132
16,wildlife,0.01931197498632251
16,thames water,0.01721286720582212
17,species,0.03203410588618614
17,mining,0.03197014289067704
17,deep sea,0.026501090938190315
17,wild,0.019219880531068014
17,sea mining,0.018725571812204155
17,kelp,0.018634955044721287
17,farming,0.01699160707902269
17,japanese,0.016540817499352625
17,orkney,0.01579565121362631
17,ocean,0.015267372635129998
18,epa,0.06647768239101323
18,chemicals,0.05826848807208568
18,plastic,0.0331272440737191
18,chemical,0.026284292685571538
18,plastics,0.020875082398989504
18,octopus,0.020136842328464088
18,toxic,0.018645468179906876
18,portland,0.018227488926442745
18,drinking water,0.01705152189893031
18,drinking,0.016011705371126294
19,russian,0.05282964907003403
19,ukrainian,0.049358702122663196
19,military,0.02510302653423759
19,grain,0.022299379563566354
19,black sea,0.02187602310667105
19,forces,0.0205466220320089
19,odesa,0.019701406063551818
19,ministry,0.01845775746782714
19,moscow,0.017198577049179518
19,kyiv,0.01602593356942937
